node_id,area,coord,node_type_raw,node_type_norm,x,y,current_alliance,owner_server,owner_server_source,server_side,pact_status,pact_source,status_raw,status_norm,captured_at_jst,safe_until_jst,protection_status,last_event_at,last_event_owner,event_count,confidence,enemy_flag,destroyed_flag,warning_flags,source_row,updated_at_jst,memo
中央:中央-9-17,中央,中央-9-17,祭壇,unknown,824,574,TIKW,,unknown,unknown,unknown,,active,owned,2026/05/26 23:30,,safe_time_missing,2026/05/26 23:30,TIKW,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1805,2026-05-31T14:21:08+09:00,
中央:中央-10-6,中央,中央-10-6,祭壇,unknown,274,524,476T,476,ownership_current,enemy,attack_allowed,manual,active,owned,2026/05/26 23:24,,safe_time_missing,2026/05/26 23:24,476T,0,medium,TRUE,FALSE,,1806,2026-05-31T14:21:08+09:00,
中央:中央-11-5,中央,中央-11-5,祭壇,unknown,224,474,MOE,,unknown,unknown,unknown,,active,owned,2026/05/26 23:24,,safe_time_missing,2026/05/26 23:24,MOE,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1807,2026-05-31T14:21:08+09:00,
中央:中央-13-15,中央,中央-13-15,祭壇,unknown,724,374,Digg,480,alliance_directory,enemy,attack_allowed,manual,active,owned,2026/05/26 23:24,,safe_time_missing,2026/05/26 23:24,Digg,0,medium,TRUE,FALSE,,1808,2026-05-31T14:21:08+09:00,
中央:中央-17-8,中央,中央-17-8,祭壇,unknown,374,174,JL0,,unknown,unknown,unknown,,active,owned,2026/05/26 23:24,,safe_time_missing,2026/05/26 23:24,JL0,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1809,2026-05-31T14:21:08+09:00,
中央:中央-4-10,中央,中央-4-10,祭壇,unknown,474,824,476A,476,ownership_current,enemy,attack_allowed,manual,active,owned,2026/05/26 23:24,,safe_time_missing,2026/05/26 23:24,476A,0,medium,TRUE,FALSE,,1810,2026-05-31T14:21:08+09:00,
中央:中央-4-12,中央,中央-4-12,祭壇,unknown,574,824,KTVS,534,alliance_directory,self,attack_allowed,manual,active,owned,2026/05/26 23:24,,safe_time_missing,2026/05/26 23:24,KTVS,0,medium,FALSE,FALSE,,1811,2026-05-31T14:21:08+09:00,
中央:中央-5-10,中央,中央-5-10,祭壇,unknown,474,774,476A,476,ownership_current,enemy,attack_allowed,manual,active,owned,2026/05/26 23:24,,safe_time_missing,2026/05/26 23:24,476A,0,medium,TRUE,FALSE,,1812,2026-05-31T14:21:08+09:00,
中央:中央-6-16,中央,中央-6-16,祭壇,unknown,774,724,UMN,,unknown,unknown,unknown,,active,owned,2026/05/26 23:24,,safe_time_missing,2026/05/26 23:24,UMN,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1813,2026-05-31T14:21:08+09:00,
中央:中央-6-4,中央,中央-6-4,祭壇,unknown,174,724,476Z,476,ownership_current,enemy,attack_allowed,manual,active,owned,2026/05/26 23:24,,safe_time_missing,2026/05/26 23:24,476Z,0,medium,TRUE,FALSE,,1814,2026-05-31T14:21:08+09:00,
中央:中央-6-6,中央,中央-6-6,祭壇,unknown,274,724,476M,476,ownership_current,enemy,attack_allowed,manual,active,owned,2026/05/26 23:24,,safe_time_missing,2026/05/26 23:24,476M,0,medium,TRUE,FALSE,,1815,2026-05-31T14:21:08+09:00,
中央:中央-7-4,中央,中央-7-4,祭壇,unknown,174,674,VEX,509,alliance_directory,ally,attack_allowed,manual,active,owned,2026/05/26 23:24,,safe_time_missing,2026/05/26 23:24,VEX,0,medium,FALSE,FALSE,,1816,2026-05-31T14:21:08+09:00,
中央:中央-8-4,中央,中央-8-4,祭壇,unknown,174,624,ALj,,unknown,unknown,unknown,,active,owned,2026/05/26 23:24,,safe_time_missing,2026/05/26 23:24,ALj,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1817,2026-05-31T14:21:08+09:00,
中央:中央-10-15,中央,中央-10-15,祭壇,unknown,724,524,GX99,503,alliance_directory,enemy,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,GX99,0,medium,TRUE,FALSE,,1818,2026-05-31T14:21:08+09:00,
中央:中央-10-16,中央,中央-10-16,祭壇,unknown,774,524,Lghs,503,alliance_directory,enemy,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,Lghs,0,medium,TRUE,FALSE,,1819,2026-05-31T14:21:08+09:00,
中央:中央-10-17,中央,中央-10-17,祭壇,unknown,824,524,COZy,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,COZy,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1820,2026-05-31T14:21:08+09:00,
中央:中央-10-4,中央,中央-10-4,祭壇,unknown,174,524,476T,476,ownership_current,enemy,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,476T,0,medium,TRUE,FALSE,,1821,2026-05-31T14:21:08+09:00,
中央:中央-10-5,中央,中央-10-5,祭壇,unknown,224,524,476T,476,ownership_current,enemy,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,476T,0,medium,TRUE,FALSE,,1822,2026-05-31T14:21:08+09:00,
中央:中央-11-16,中央,中央-11-16,祭壇,unknown,774,474,TkTk,480,alliance_directory,enemy,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,TkTk,0,medium,TRUE,FALSE,,1823,2026-05-31T14:21:08+09:00,
中央:中央-11-4,中央,中央-11-4,祭壇,unknown,174,474,SHA0,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,SHA0,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1824,2026-05-31T14:21:08+09:00,
中央:中央-11-6,中央,中央-11-6,祭壇,unknown,274,474,2N7,511,alliance_directory,ally,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,2N7,0,medium,FALSE,FALSE,,1825,2026-05-31T14:21:08+09:00,
中央:中央-12-16,中央,中央-12-16,祭壇,unknown,774,424,BgNa,480,alliance_directory,enemy,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,BgNa,0,medium,TRUE,FALSE,,1826,2026-05-31T14:21:08+09:00,
中央:中央-12-17,中央,中央-12-17,祭壇,unknown,824,424,PmP,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,PmP,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1827,2026-05-31T14:21:08+09:00,
中央:中央-12-4,中央,中央-12-4,祭壇,unknown,174,424,SHA0,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,SHA0,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1828,2026-05-31T14:21:08+09:00,
中央:中央-13-16,中央,中央-13-16,祭壇,unknown,774,374,TkTk,480,alliance_directory,enemy,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,TkTk,0,medium,TRUE,FALSE,,1829,2026-05-31T14:21:08+09:00,
中央:中央-13-17,中央,中央-13-17,祭壇,unknown,824,374,AAOA,480,alliance_directory,enemy,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,AAOA,0,medium,TRUE,FALSE,,1830,2026-05-31T14:21:08+09:00,
中央:中央-13-4,中央,中央-13-4,祭壇,unknown,174,374,SHA0,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,SHA0,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1831,2026-05-31T14:21:08+09:00,
中央:中央-13-5,中央,中央-13-5,祭壇,unknown,224,374,89M,534,alliance_directory,self,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,89M,0,medium,FALSE,FALSE,,1832,2026-05-31T14:21:08+09:00,
中央:中央-13-6,中央,中央-13-6,祭壇,unknown,274,374,89M,534,alliance_directory,self,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,89M,0,medium,FALSE,FALSE,,1833,2026-05-31T14:21:08+09:00,
中央:中央-14-14,中央,中央-14-14,祭壇,unknown,674,324,GoDs,440,alliance_alias,ally,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,GoDs,0,medium,FALSE,FALSE,,1834,2026-05-31T14:21:08+09:00,
中央:中央-14-15,中央,中央-14-15,祭壇,unknown,724,324,BgNa,480,alliance_directory,enemy,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,BgNa,0,medium,TRUE,FALSE,,1835,2026-05-31T14:21:08+09:00,
中央:中央-14-5,中央,中央-14-5,祭壇,unknown,224,324,MOE,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,MOE,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1836,2026-05-31T14:21:08+09:00,
中央:中央-14-6,中央,中央-14-6,祭壇,unknown,274,324,MOE,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,MOE,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1837,2026-05-31T14:21:08+09:00,
中央:中央-14-7,中央,中央-14-7,祭壇,unknown,324,324,fIrE,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,fIrE,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1838,2026-05-31T14:21:08+09:00,
中央:中央-15-10,中央,中央-15-10,祭壇,unknown,474,274,JL0,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,JL0,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1839,2026-05-31T14:21:08+09:00,
