node_id,area,coord,node_type_raw,node_type_norm,x,y,current_alliance,owner_server,owner_server_source,server_side,pact_status,pact_source,status_raw,status_norm,captured_at_jst,safe_until_jst,protection_status,last_event_at,last_event_owner,event_count,confidence,enemy_flag,destroyed_flag,warning_flags,source_row,updated_at_jst,memo
#509:J-7,#509,J-7,漁場,fishery,299,899,xjR,,unknown,unknown,unknown,,active,owned,2026/05/27 23:52,,safe_time_missing,2026/05/27 23:52,xjR,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1096,2026-05-30T23:03:59+09:00,
#509:j-8,#509,j-8,都市,city,349,949,OWM,,unknown,unknown,unknown,,active,owned,,,safe_time_missing,,OWM,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1097,2026-05-30T23:03:59+09:00,
#509:K-1,#509,K-1,漁場,fishery,20,978,KOCH,,unknown,unknown,unknown,,active,owned,,,safe_time_missing,,KOCH,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1099,2026-05-30T23:03:59+09:00,
#509:K-17,#509,K-17,漁場,fishery,799,978,OTT,,unknown,unknown,unknown,,active,owned,,,safe_time_missing,,OTT,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1100,2026-05-30T23:03:59+09:00,
#509:K-19,#509,K-19,漁場,fishery,899,978,OTT,,unknown,unknown,unknown,,active,owned,,,safe_time_missing,,OTT,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1101,2026-05-30T23:03:59+09:00,
#509:K-21,#509,K-21,漁場,fishery,978,978,UMN,,unknown,unknown,unknown,,active,owned,2026/05/27 23:13,,safe_time_missing,2026/05/27 23:13,UMN,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1102,2026-05-30T23:03:59+09:00,
#509:K-3,#509,K-3,漁場,fishery,99,978,OWM,,unknown,unknown,unknown,,active,owned,2026/05/28 4:30,,safe_time_missing,2026/05/28 4:30,OWM,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1103,2026-05-30T23:03:59+09:00,
#509:K-5,#509,K-5,漁場,fishery,199,978,OWM,,unknown,unknown,unknown,,active,owned,,,safe_time_missing,,OWM,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1104,2026-05-30T23:03:59+09:00,
#509:K-7,#509,K-7,漁場,fishery,299,978,OWM,,unknown,unknown,unknown,,active,owned,,,safe_time_missing,,OWM,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1105,2026-05-30T23:03:59+09:00,
#511:A-7,#511,A-7,漁場,fishery,299,20,K4TR,,unknown,unknown,unknown,,active,owned,2026/05/27 16:04,,safe_time_missing,2026/05/27 16:04,K4TR,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1106,2026-05-30T23:03:59+09:00,
