node_id,owner_server,owner_alliance,affiliation,acquired_at_jst,source,confidence,last_confirmed_at,last_event_id,status,note
#523:E-15,,,unknown,,legacy_management_table,low,,,unknown,
#523:e-16,,,unknown,,legacy_management_table,low,,,unknown,
#523:e-18,,,unknown,,legacy_management_table,low,,,unknown,
#523:e-2,,,unknown,,legacy_management_table,low,,,unknown,
#523:E-21,,,unknown,,legacy_management_table,low,,,unknown,
#523:E-5,,,unknown,,legacy_management_table,low,,,unknown,
#523:e-6,,,unknown,,legacy_management_table,low,,,unknown,
#523:E-7,,,unknown,,legacy_management_table,low,,,unknown,
#523:E-9,,,unknown,,legacy_management_table,low,,,unknown,
#523:F-1,,,unknown,,legacy_management_table,low,,,unknown,
#523:f-10,,,unknown,,legacy_management_table,low,,,unknown,
#523:F-11,,,unknown,,legacy_management_table,low,,,unknown,
#523:f-12,,,unknown,,legacy_management_table,low,,,unknown,
#523:F-13,,,unknown,,legacy_management_table,low,,,unknown,
#523:F-15,,,unknown,,legacy_management_table,low,,,unknown,
#523:f-16,,,unknown,,legacy_management_table,low,,,unknown,
#523:F-17,,,unknown,,legacy_management_table,low,,,unknown,
#523:f-18,,,unknown,,legacy_management_table,low,,,unknown,
#523:f-2,,,unknown,,legacy_management_table,low,,,unknown,
#523:F-21,,,unknown,,legacy_management_table,low,,,unknown,
#523:F-3,,,unknown,,legacy_management_table,low,,,unknown,
#523:F-5,,,unknown,,legacy_management_table,low,,,unknown,
#523:F-7,,,unknown,,legacy_management_table,low,,,unknown,
#523:F-9,,,unknown,,legacy_management_table,low,,,unknown,
#523:G-1,,,unknown,,legacy_management_table,low,,,unknown,
#523:g-10,,,unknown,,legacy_management_table,low,,,unknown,
#523:G-11,,,unknown,,legacy_management_table,low,,,unknown,
#523:G-13,,,unknown,,legacy_management_table,low,,,unknown,
#523:G-15,,,unknown,,legacy_management_table,low,,,unknown,
#523:g-2,,,unknown,,legacy_management_table,low,,,unknown,
#523:G-21,,,unknown,,legacy_management_table,low,,,unknown,
#523:G-3,,,unknown,,legacy_management_table,low,,,unknown,
#523:g-4,,,unknown,,legacy_management_table,low,,,unknown,
#523:G-5,,,unknown,,legacy_management_table,low,,,unknown,
#523:G-7,,,unknown,,legacy_management_table,low,,,unknown,
#523:G-9,,,unknown,,legacy_management_table,low,,,unknown,
#523:H-1,,,unknown,,legacy_management_table,low,,,unknown,
#523:h-10,,,unknown,,legacy_management_table,low,,,unknown,
