owner_alliance,inferred_server,directory_server,directory_match_type,node_count,area_counts,node_type_counts,sample_node_ids,sample_node_labels,current_affiliation,reason
WoW3,,,none,7,"{""#440"":7}","{""漁場"":6,""都市"":1}",#440:b-10;#440:A-5;#440:A-7;#440:B-7;#440:A-9;#440:B-9;#440:A-3,b-10;A-5;A-7;B-7;A-9;B-9;A-3,unknown,missing_from_pacts
Ryu1,,,none,6,"{""#534"":6}","{""都市"":3,""漁場"":3}",#534:g-2;#534:H-1;#534:h-2;#534:H-3;#534:h-4;#534:I-1,g-2;H-1;h-2;H-3;h-4;I-1,unknown,missing_from_pacts
SHA0,,,none,6,"{""#534"":3,""中央"":3}","{""祭壇"":3,""漁場"":2,""都市"":1}",#534:A-9;#534:B-9;#534:b-8;中央:中央-11-4;中央:中央-12-4;中央:中央-13-4,A-9;B-9;b-8;中央-11-4;中央-12-4;中央-13-4,unknown,missing_from_pacts
Skh,,,none,6,"{""#534"":6}","{""漁場"":5,""都市"":1}",#534:B-3;#534:b-2;#534:B-1;#534:C-1;#534:D-1;#534:E-1,B-3;b-2;B-1;C-1;D-1;E-1,unknown,missing_from_pacts
hMt,,,none,6,"{""#503"":4,""#509"":2}","{""漁場"":5,""都市"":1}",#503:K-17;#503:I-17;#503:J-17;#503:i-18;#509:K-15;#509:K-19,K-17;I-17;J-17;i-18;K-15;K-19,unknown,missing_from_pacts
w6F,,,none,6,"{""#534"":6}","{""漁場"":5,""都市"":1}",#534:b-20;#534:B-21;#534:B-19;#534:A-15;#534:A-17;#534:B-17,b-20;B-21;B-19;A-15;A-17;B-17,unknown,missing_from_pacts
CROW,,,none,5,"{""#534"":5}","{""漁場"":3,""都市"":2}",#534:J-3;#534:j-4;#534:J-5;#534:j-6;#534:K-5,J-3;j-4;J-5;j-6;K-5,unknown,missing_from_pacts
Kfk,,,none,5,"{""#476"":3,""中央"":2}","{""漁場"":4,""都市"":1}",#476:I-19;#476:h-20;#476:I-21;中央:中央-5-1;中央:中央-5-2,I-19;h-20;I-21;中央-5-1;中央-5-2,unknown,missing_from_pacts
RING,,,none,5,"{""#503"":5}","{""漁場"":4,""都市"":1}",#503:i-14;#503:J-11;#503:J-15;#503:J-13;#503:K-9,i-14;J-11;J-15;J-13;K-9,unknown,missing_from_pacts
Trh,,,none,5,"{""#534"":5}","{""漁場"":4,""都市"":1}",#534:C-15;#534:b-14;#534:B-11;#534:A-11;#534:D-15,C-15;b-14;B-11;A-11;D-15,unknown,missing_from_pacts
sg3,,,none,5,"{""#534"":5}","{""漁場"":3,""都市"":2}",#534:c-18;#534:d-18;#534:D-19;#534:E-15;#534:E-17,c-18;d-18;D-19;E-15;E-17,unknown,missing_from_pacts
aTA,,,none,4,"{""#440"":4}","{""漁場"":3,""都市"":1}",#440:H-7;#440:H-5;#440:h-4;#440:I-5,H-7;H-5;h-4;I-5,unknown,missing_from_pacts
hOe,,,none,4,"{""#480"":3,""#503"":1}","{""漁場"":4}",#480:H-13;#480:I-13;#480:J-13;#503:A-13,H-13;I-13;J-13;A-13,unknown,missing_from_pacts
IMP,,,none,3,"{""#480"":2,""中央"":1}","{""漁場"":2,""祭壇"":1}",#480:A-11;#480:B-9;中央:中央-17-16,A-11;B-9;中央-17-16,unknown,missing_from_pacts
OTT,,,none,3,"{""#509"":3}","{""漁場"":2,""都市"":1}",#509:K-11;#509:G-17;#509:j-14,K-11;G-17;j-14,unknown,missing_from_pacts
UrE,,,none,3,"{""#523"":3}","{""漁場"":3}",#523:H-3;#523:K-1;#523:I-1,H-3;K-1;I-1,unknown,missing_from_pacts
YDR,,,none,3,"{""#503"":3}","{""漁場"":3}",#503:F-21;#503:H-21;#503:G-19,F-21;H-21;G-19,unknown,missing_from_pacts
299,299,,none,2,"{""#503"":1,""中央"":1}","{""漁場"":1,""祭壇"":1}",#503:D-15;中央:中央-8-17,D-15;中央-8-17,unknown,missing_from_pacts
ANH2,,,none,2,"{""#440"":2}","{""漁場"":2}",#440:B-19;#440:D-19,B-19;D-19,unknown,missing_from_pacts
KOCH,,,none,2,"{""#509"":2}","{""都市"":1,""漁場"":1}",#509:h-2;#509:H-3,h-2;H-3,unknown,missing_from_pacts
OOEf,,,none,2,"{""#511"":2}","{""漁場"":2}",#511:J-9;#511:K-9,J-9;K-9,unknown,missing_from_pacts
SVh,,,none,2,"{""#511"":2}","{""漁場"":2}",#511:C-7;#511:C-5,C-7;C-5,unknown,missing_from_pacts
TRh,,,none,2,"{""#511"":2}","{""漁場"":2}",#511:F-21;#511:E-21,F-21;E-21,unknown,missing_from_pacts
moca,,,none,2,"{""#534"":2}","{""漁場"":2}",#534:K-1;#534:K-3,K-1;K-3,unknown,missing_from_pacts
nv8,,,none,2,"{""#440"":1,""#511"":1}","{""漁場"":2}",#440:A-1;#511:B-21,A-1;B-21,unknown,missing_from_pacts
59U,,,none,1,"{""#534"":1}","{""漁場"":1}",#534:H-19,H-19,unknown,missing_from_pacts
ALi,,,none,1,"{""#523"":1}","{""漁場"":1}",#523:J-21,J-21,unknown,missing_from_pacts
IXM,,,none,1,"{""#476"":1}","{""漁場"":1}",#476:K-9,K-9,unknown,missing_from_pacts
JlZ,,,none,1,"{""中央"":1}","{""漁場"":1}",中央:中央-20-8,中央-20-8,unknown,missing_from_pacts
SVo,,,none,1,"{""#511"":1}","{""漁場"":1}",#511:K-17,K-17,unknown,missing_from_pacts
