node_id,coord,node_type_norm,current_alliance,status_norm,protection_status,safe_until_jst,frontline_group,server_side,enemy_flag,destroyed_flag,strategic_value,risk_score,risk_level,risk_note
#503:D-11,D-11,fishery,,neutral_or_unknown,neutral_or_unknown,,frontline_core,unknown,FALSE,FALSE,10,40,mid,fishery +10; frontline_core +30
#503:D-13,D-13,fishery,,neutral_or_unknown,neutral_or_unknown,,frontline_core,unknown,FALSE,FALSE,10,40,mid,fishery +10; frontline_core +30
#503:d-16,d-16,city,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
#503:D-17,D-17,fishery,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
#503:d-18,d-18,city,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
#503:D-19,D-19,fishery,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
#503:d-20,d-20,city,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
#503:D-21,D-21,fishery,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
#503:d-4,d-4,city,TIKW,owned,safe_time_missing,,frontline_adjacent,unknown,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
#503:D-5,D-5,fishery,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
#503:d-6,d-6,city,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
#503:d-8,d-8,city,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
#503:D-9,D-9,fishery,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
#503:E-1,E-1,fishery,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
#503:e-10,e-10,city,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
#503:E-11,E-11,fishery,,neutral_or_unknown,neutral_or_unknown,,frontline_core,unknown,FALSE,FALSE,10,40,mid,fishery +10; frontline_core +30
#503:e-12,e-12,city,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
#503:E-13,E-13,fishery,,neutral_or_unknown,neutral_or_unknown,,frontline_core,unknown,FALSE,FALSE,10,40,mid,fishery +10; frontline_core +30
#503:e-16,e-16,city,TIKW,owned,safe_time_missing,,frontline_adjacent,unknown,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
#503:e-18,e-18,city,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
#503:E-19,E-19,fishery,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
#503:e-20,e-20,city,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
#503:E-21,E-21,fishery,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
#503:e-4,e-4,city,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
#503:E-5,E-5,fishery,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
#503:e-6,e-6,city,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
#503:E-9,E-9,fishery,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
#503:F-1,F-1,fishery,Bye,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:f-10,f-10,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:F-11,F-11,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:f-12,f-12,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:F-13,F-13,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:F-15,F-15,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:f-16,f-16,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:F-17,F-17,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:f-18,f-18,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:F-19,F-19,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
