source,option,raw_name,matched_name,match_score,total_m,band,ocr_text
IMG_8215.PNG,8,YOSAKOI,YOSAKOI,1.0,290.32,8_55M以上〜58M未満,戦力：290322056
IMG_8215.PNG,8,EI KAMA,El KAMA,0.833,273.81,8_55M以上〜58M未満,戦力：273805802
IMG_8216.PNG,8,以下の方が選択肢「8」を選びました,,0.0,273.4,8_55M以上〜58M未満,戦力：273395074
IMG_8216.PNG,8,ちゅうちぇ,ちゅうちぇ,1.0,249.38,8_55M以上〜58M未満,戦力：249380911
IMG_8216.PNG,8,YOSAKOI,YOSAKOI,1.0,290.32,8_55M以上〜58M未満,戦力：290322056
IMG_8216.PNG,8,EI KAMA,El KAMA,0.833,273.81,8_55M以上〜58M未満,戦力 ：273805802
IMG_8216.PNG,8,ぷるPuru 理,ぷるPuru,0.99,252.96,8_55M以上〜58M未満,戦力：252962605
IMG_8217.PNG,9,パインス ATLANTIC HALO,ATLANTIC HALO,0.9,221.52,9_50M以上～55M未満,戦力：221518489
IMG_8217.PNG,9,Shawawaga,Shawawaga,1.0,259.96,9_50M以上～55M未満,戦力：259960930
IMG_8217.PNG,9,kaaaaat,kaaaaat,1.0,252.91,9_50M以上～55M未満,戦力：252911100
IMG_8217.PNG,9,SUPREMO,SÜPRĒMŌ,1.0,240.64,9_50M以上～55M未満,戦力：240642063
IMG_8218.PNG,9,以下の方が選択肢「9」を選びました,,0.0,252.91,9_50M以上～55M未満,戦力：252911100
IMG_8218.PNG,9,SUPREMO,SÜPRĒMŌ,1.0,240.64,9_50M以上～55M未満,戦力：240642063
IMG_8218.PNG,9,PHL Pjia,PHL Pjia,1.0,249.31,9_50M以上～55M未満,戦力：249305274
IMG_8218.PNG,9,こうしゅう,こうしゅう,1.0,306.26,9_50M以上～55M未満,戦力 ：306262228
IMG_8218.PNG,9,ツナ缶食べ隊,ツナ缶食べ隊,1.0,256.92,9_50M以上～55M未満,戦力：256922460
IMG_8219.PNG,10,youuuuri,youuuuri,1.0,186.69,a_50M未満,戦力：186687451
IMG_8219.PNG,10,レッチャ,レッチャ,1.0,198.34,a_50M未満,戦力：198339778
IMG_8219.PNG,10,~Jinstars,Jinstars,1.0,217.32,a_50M未満,戦力：217320977
