image,raw_name,matched_name,match_score,comment_text,form,first_m,job
IMG_2536.PNG,きょたぽ,きょたぱ,1.0,rocket launcher64.35M,ロ,64.35,
IMG_2534.PNG,こうしゅう,こうしゅう,1.0,戦車53.73Mエンジニア,戦,53.73,エンジニア
IMG_2536.PNG,だあむ,だあむ,1.0,航空60.37 エンジニア,航,60.37,エンジニア
IMG_2536.PNG,ちゅうちぇ,ちゅうちぇ,1.0,戦車57.9エンジニア,戦,57.9,エンジニア
IMG_2533.PNG,はぶーぶ,はぶーぶ,1.0,59.98戦車エンジニア,戦,59.98,エンジニア
IMG_2538.PNG,ふみっちゃん,ふみっちゃん,1.0,ルシウス戦車 63.9M エンジニア,戦,63.9,エンジニア
IMG_2531.PNG,ぷるPuru,ぷるPuru,1.0,戦車58.2M指導者,戦,58.2,指導者
IMG_2529.PNG,レバブル子,まったり子,1.0,ロケラン76.8M戦争指導者,ロ,76.8,指導者
IMG_2538.PNG,もこ『,もこP,1.0,戦車63.48M 指導者,戦,63.48,指導者
IMG_2529.PNG,もる5,もるせら,1.0,あだすか60.2M指導者,,60.2,指導者
IMG_2538.PNG,カラトリ君,カラトリ君,1.0,戦車67.7私指導者です,戦,67.7,指導者
IMG_2534.PNG,ケロ丸,ケロ丸,1.0,アダスカ56.95エンジニア,戦,56.95,エンジニア
IMG_2530.PNG,スコア80,スコア80,1.0,ロケラン 65.5M エンジニア,ロ,65.5,エンジニア
IMG_2535.PNG,ゾンビ屋響子,ゾンビ屋響子,1.0,戦車63.4エンジニア,戦,63.4,エンジニア
IMG_2539.PNG,ツナ缶食べ隊,ツナ缶食べ隊,1.0,戦車53mエンジニア,戦,53,エンジニア
IMG_2532.PNG,ノンタン,ノンタン,1.0,戦車65.7エンジニア A,戦,65.7,エンジニア
IMG_2541.PNG,ボッサ,ボッサ,1.0,戦車62M えんじにあ,戦,62,
IMG_2539.PNG,マリオ mario,マリオ mario,1.0,ロケラン71.2指導者 AN,ロ,71.2,指導者
IMG_2532.PNG,ヤギサトツ,ヤギサトツ,1.0,航空50.7 麺エンジニア,航,50.7,エンジニア
IMG_2537.PNG,ユパパパ,ユパパパ,1.0,戦車64.46Mエンジニア火,戦,64.46,エンジニア
IMG_2541.PNG,レッチャ,レッチャ,1.0,47.5エンジニア,,47.5,エンジニア
IMG_2534.PNG,三SUN SUN三,三SUN SUN三,1.0,戦車56.53M エンジニア,戦,56.53,エンジニア
IMG_2540.PNG,指揮官の鷹,指揮官の鷹,1.0,ロケラン67M指導者,ロ,67,指導者
IMG_2541.PNG,枝マメDX,枝マメDx,1.0,アゴ付き戦車62.77Mエンジン屋,戦,62.77,エンジニア
IMG_2532.PNG,渋猫選手沢橋,渋猫選手R,1.0,ロケラン82M 戦争指導者 AN,ロ,82,指導者
IMG_2533.PNG,馬券師もつお,馬券師もつお,1.0,ロケラン71.8M 指導者,ロ,71.8,指導者
IMG_2540.PNG,黒猫 nuda,黒猫 nuda,1.0,航空76.3Mエンジニア 品,航,76.3,エンジニア
