issue,key,management_row,type,owner,expected,full_map,map_row,map_column,memo
owned_key_not_in_template,中央:中央-3-9,2050,漁場,476B,476B,,,,画像18: #8061 X:424 Y:874 Lv7
owned_key_not_in_template,中央:中央-4-10,1812,祭壇,476A,476A,,,,グレー吹き出しOCR IMG_1142.PNG / #8061 X:474 Y:824 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-4-11,1869,祭壇,Lghs,Lghs,,,,グレー吹き出しOCR IMG_1126.PNG / #8061 X:524 Y:824 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-4-12,1813,祭壇,KTVS,KTVS,,,,グレー吹き出しOCR IMG_1141.PNG / #8061 X:574 Y:824 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-4-13,1870,祭壇,Stj,Stj,,,,RAW_OCR_LOG row45 / #8061 X:624 Y:824 Lv.1 どくろの祭壇 / 中立/未登録 -> Stj / 画像:1EFAEC65
owned_key_not_in_template,中央:中央-4-14,1794,祭壇,xjR,xjR,,,,グレー吹き出しOCR IMG_1147.PNG / #8061 X:674 Y:824 Lv.1 祭壇 / 画像内表示 / OCR補正:xiR->xjR
owned_key_not_in_template,中央:中央-4-15,1871,祭壇,fzn,fzn,,,,グレー吹き出しOCR IMG_1127.PNG / #8061 X:724 Y:824 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-4-16,1872,祭壇,JDX,JDX,,,,グレー吹き出しOCR IMG_1136.PNG / #8061 X:774 Y:824 Lv.1 祭壇 / 時刻は前後スクショから推定 / OCR補正:DX->JDX
owned_key_not_in_template,中央:中央-4-17,2033,漁場,FHX,FHX,,,,OCR IMG_0503.PNG / #8061 X:824 Y:824 Lv.7 / FHX維持
owned_key_not_in_template,中央:中央-4-18,2047,漁場,SsQ,SsQ,,,,新規画像1: #8061 X:874 Y:824 Lv.7
owned_key_not_in_template,中央:中央-4-19,1956,漁場,KTVS,KTVS,,,,Dropbox赤字OCR IMG_1445.PNG / 中央 X:924 Y:824 Lv.6 漁場 / SsQ -> KTVS / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-4-2,2139,漁場,476H,476H,,,,動画OCR 20260529_214926_trim15 crop_0182.png / #8061 X:74 Y:824 Lv.6 漁場 / 中立/未登録 -> 476H
owned_key_not_in_template,中央:中央-4-20,2074,漁場,MOn,MOn,,,,Dropbox赤字OCR IMG_1480.PNG / #8061 X:974 Y:824 Lv.5 漁場 / 中立/未登録 -> MOn
owned_key_not_in_template,中央:中央-4-3,1918,漁場,476C,476C,,,,赤字OCR IMG_1089.PNG / #8061 X:124 Y:824 Lv.7 漁場 / 中立/未登録 -> 476C
owned_key_not_in_template,中央:中央-4-4,1979,漁場,476H,476H,,,,Dropbox赤字OCR IMG_1488.PNG / #8061 X:174 Y:824 Lv.7 漁場 / 中立/未登録 -> 476H
owned_key_not_in_template,中央:中央-4-5,1873,祭壇,476d,476d,,,,グレー吹き出しOCR IMG_1126.PNG / #8061 X:224 Y:824 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-4-6,1874,祭壇,476C,476C,,,,グレー吹き出しOCR IMG_1122.PNG / #8061 X:274 Y:824 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-4-7,1785,祭壇,476X,476X,,,,RAW_OCR_LOG row62 / #8061 X:324 Y:824 Lv.1 どくろの祭壇 / 中立/未登録 -> 476X / 画像:1505E4F4
owned_key_not_in_template,中央:中央-4-8,1875,祭壇,476B,476B,,,,グレー吹き出しOCR IMG_1126.PNG / #8061 X:374 Y:824 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-4-9,1876,祭壇,476A,476A,,,,グレー吹き出しOCR IMG_1140.PNG / #8061 X:424 Y:824 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-5-1,1909,漁場,Kfk,Kfk,,,,RAW_OCR_LOG row29 / #8061 X:24 Y:774 Lv.5 漁場 / 中立/未登録 -> Kfk / 画像:0C5C35F7
owned_key_not_in_template,中央:中央-5-10,1814,祭壇,476A,476A,,,,グレー吹き出しOCR IMG_1143.PNG / #8061 X:474 Y:774 Lv.2 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-5-11,1877,祭壇,Bye,Bye,,,,グレー吹き出しOCR IMG_1138.PNG / #8061 X:524 Y:774 Lv.2 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-5-12,1878,祭壇,Stj,Stj,,,,グレー吹き出しOCR IMG_1124.PNG / #8061 X:574 Y:774 Lv.1 祭壇 / 時刻は前後スクショから推定 / OCR補正:Sti->Stj
owned_key_not_in_template,中央:中央-5-13,1879,祭壇,SHA,SHA,,,,グレー吹き出しOCR IMG_1131.PNG / #8061 X:624 Y:774 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-5-14,1880,祭壇,GX99,GX99,,,,グレー吹き出しOCR IMG_1130.PNG / #8061 X:674 Y:774 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-5-15,1786,祭壇,one,one,,,,RAW_OCR_LOG row58 / #8061 X:724 Y:774 Lv.1 どくろの祭壇 / 中立/未登録 -> one / 画像:1505E4F4
owned_key_not_in_template,中央:中央-5-16,1787,祭壇,TIKW,TIKW,,,,RAW_OCR_LOG row53 / #8061 X:774 Y:774 Lv.1 どくろの祭壇 / 中立/未登録 -> TIKW / 画像:D1EB3C7D
owned_key_not_in_template,中央:中央-5-17,1881,祭壇,Lghs,Lghs,,,,グレー吹き出しOCR IMG_1127.PNG / #8061 X:824 Y:774 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-5-18,2048,漁場,fzn,fzn,,,,Dropbox赤字OCR IMG_1650.PNG / #8061 X:874 Y:774 Lv.7 漁場 / FHX -> fzn
owned_key_not_in_template,中央:中央-5-19,2063,漁場,TkTk,TkTk,,,,追加画像2: #8061 X:924 Y:774 Lv6
owned_key_not_in_template,中央:中央-5-2,2140,漁場,Kfk,Kfk,,,,Dropbox赤字OCR IMG_1337.PNG / #8061 X:74 Y:774 Lv.6 漁場 / 中立/未登録 -> Kfk
owned_key_not_in_template,中央:中央-5-20,2039,漁場,KTVS,KTVS,,,,Dropbox赤字OCR IMG_1447.PNG / 中央 X:974 Y:774 Lv.5 漁場 / MtG -> KTVS / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-5-3,2141,漁場,Kfk,Kfk,,,,Dropbox赤字OCR IMG_1650.PNG / #8061 X:124 Y:774 Lv.7 漁場 / 中立/未登録 -> Kfk
owned_key_not_in_template,中央:中央-5-4,1882,祭壇,476M,476M,,,,グレー吹き出しOCR IMG_1123.PNG / #8061 X:174 Y:774 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-5-5,1883,祭壇,476M,476M,,,,グレー吹き出しOCR IMG_1140.PNG / #8061 X:224 Y:774 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-5-6,1884,祭壇,476d,476d,,,,グレー吹き出しOCR IMG_1132.PNG / #8061 X:274 Y:774 Lv.1 祭壇 / 時刻は前後スクショから推定
